"","equipment","manufacturer","engine_type","engines_amount","takeoff_max_weight..Lbs.","seatings_amount","year_manufacture","registration_category","registration_aviation","operation_phase","type_operation","fu","occuence_year","classification"
"1742","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,1455,2,1961,"PRI","INSTRUCTION","ENGINE START","INSTRUCTION","PR",2014,"ACCIDENT"
"1743","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,2949,4,1975,"TPP","PRIVATE","CRUISE","PRIVATE","AC",2014,"ACCIDENT"
"1744","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3968,1,1989,"SAE-AG","AGRICULTURAL","TAKEOFF","AGRICULTURAL","RS",2014,"ACCIDENT"
"1745","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3968,1,1990,"SAE-AG","AGRICULTURAL","SPECIALIZED","AGRICULTURAL","SP",2014,"ACCIDENT"
"1746","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,2299,0,1977,"PRI","INSTRUCTION","MANEUVER","INSTRUCTION","MG",2014,"ACCIDENT"
"1747","AIRPLANE","AERO BOERO","PISTON",1,1860,2,1987,"PRI","INSTRUCTION","LANDING","INSTRUCTION","SP",2014,"ACCIDENT"
"1748","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,2649,0,1957,"TPP","PRIVATE","FINAL APPROXIMATION","PRIVATE","SP",2014,"ACCIDENT"
"1749","HELICOPTER","ROBINSON HELICOPTER","PISTON",1,1369,2,2008,"TPP","PRIVATE","CRUISE","PRIVATE","MG",2014,"ACCIDENT"
"1750","AIRPLANE","EMBRAER","PISTON",2,4570,6,1979,"TPP","PRIVATE","RUN AFTER LANDING","PRIVATE","AC",2014,"ACCIDENT"
"1751","AIRPLANE","BEECH AIRCRAFT","PISTON",2,5399,6,1980,"ADE","DIRECT ADMINISTRATION","LANDING","POLICIAL","MS",2014,"ACCIDENT"
"1752","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,3600,6,1979,"ADE","DIRECT ADMINISTRATION","CRUISE","NOT REGULAR","RR",2014,"ACCIDENT"
"1753","HELICOPTER","ROBINSON HELICOPTER","PISTON",1,1369,2,2012,"PRI","INSTRUCTION","MANEUVER","INSTRUCTION","PR",2014,"ACCIDENT"
